"title","description","propertyType","price","dateSold","landSize","suburb","postCode","latitude","longitude","bedrooms","bathrooms","parkingSpaces","outdoorFeatures","indoorFeatures","totalFeatures"
"Outstanding development potential on 759 sqm approx","THE PROPERTY<br/>Resting on a huge block, with trams, Deakin University and the vibrant Burwood Village shopping precinct just a short stroll away, this expansive home is perfectly positioned and primed for developers to renovate, extend or build. Currently, the floorplan comprises a light-filled living area boasting hardwood floors, which flows through to the dining domain and chic kitchen. Accommodation options are plenty, with four bedrooms within the main residence, master with abundant robe space, and a fifth located in a separate dwelling at the rear of the property, alongside a workshop and storage room, while the bathroom includes an additional separate toilet and shower room. Generous in size, the standalone laundry includes access to the backyard, where the rear decking provides a private outdoor retreat. Investors will delight in this sensational block with outstanding potential for a multi-unit development (STCA). <br/><br/>THE FEATURES<br/>• Expansive home on huge 759 sqm approx. block<br/>• Situated a short stroll from trams, shops and university<br/>• Outstanding opportunity for multi-unit development (STCA)<br/>• Four bedrooms plus fifth in separate dwelling<br/>• Hardwood floors<br/>• Main bathroom plus second toilet and shower room<br/>• Standalone laundry with rear access <br/><br/>THE LOCATION<br/>Stepping out of the home you'll find convenience on your doorstep with Burwood Highway trams and Burwood Village shops just a short stroll, Deakin University only 250m away, and ample prestigious local schools in easy reach, including Mount Scopus Memorial College, Presbyterian Ladies' College and St Scholastica's Primary School.<br/>","house","$1,460,000","2024-07-23","759.0","Burwood","3125","-37.853714","145.113903","4","1","2.0","1","0","1"
"No Easement, High Side Level Block in Quiet Street","Burwood - one of Melbourne's major growth locations is approximately 14 km east of the CBD (distance is measured in a straight line). Bordering some of Melbourne's wealthier suburbs in Camberwell, Surrey Hills and Box Hill, it is serviced by excellent public transport and road networks.<br/><br/>The property is brilliantly placed on an 767 sqm (approx.) level block, on the high side of a quiet street. Located in a prized location in the Ashwood College catchment (Ranked 21st Public High School 2023 in VIC) it is ready to move in or for a fresh start, whether that be a smart renovation or complete redevelopment. This home presents an irresistible opportunity! The sizeable land also makes it an obvious candidate to be transformed into multiple townhouses or a luxurious family home (all STCA). This property is for families, investors and builders with an eye on the future.<br/><br/>A beloved classic family home it is being sold for the first time in almost 74 years. <br/><br/>The property is a short distance to a variety of amenities, public transport (bus/tram/train), recreational facilities and highly sought-after educational institutions such as PLC and Deakin University. Now under construction, and just a few minutes’ walk away, is the location for the new Burwood station on the suburban rail loop.<br/><br/>15 Cromwell is a spacious single level home comprising three generously-sized bedrooms. There is a common bathroom, with inset bathtub and shower room, and a separate toilet. The light-filled living and functional areas are well interconnected, permitting larger gatherings of family and friends. Mingle freely between the large formal lounge and dining rooms. The kitchen has plenty of storage and a meals area, and there’s a sunroom/bedroom overlooking the rear garden. At other times, these spaces become your private zones for relaxing or indulging in your own favourite pastime.<br/><br/>As brilliant an entertainer outside as inside, it boasts a landscaped garden and a generous backyard where you can watch the children play, or enjoy with friends and family. Relish the fruits planted with many years of love in the garden.<br/><br/>Transportation:<br/>• Bus stop: 400m<br/>• Tram stop: 300 m<br/>• Box Hill train station: 4.7 km<br/><br/>Education:<br/>• Presbyterian Ladies' College (Ranked 24th High School 2023 in VIC): 550m<br/>• Deakin University Burwood: 900m<br/>• Parkhill Primary School: 1.5 km<br/>• Mount Scopus Memorial College (Ranked 4th High School 2022 in VIC): 1.5 km<br/>• Ashwood Hih School (Ranked 21st Public High School 2023 in VIC): 2 km<br/>St Scholastica's Catholic School: 2.2 km walk<br/>• Wesley College: 6.5 km<br/>• Monash University Clayton: 9.5 km<br/><br/>Shopping, Dining & Entertainment Precinct:<br/>• IGA Camberwell, local shops, restaurants & cafe: 1.1 km<br/>• Burwood Highway local shops: 1.3 km<br/>• Burwood Brickworks (regarded as the world's most sustainable shopping centre with rooftop urban farm and eatery): 3.1 km<br/>• Box Hill Central / Burwood One SC (Open 24 hours Coles & Kmart): 4.5 - 5.4 km<br/>• Camberwell Shopping Precinct / Westfield Doncaster / The Glen / Kingsway: 5.8 - 7.9 km<br/>• Chadstone Shopping Centre (biggest in the Southern Hemisphere): 5.8 km<br/><br/>Recreation & Reserve:<br/>• Gardiners Creek Reserve: 500m <br/>• Wattle Park: 1.3 km<br/>• Box Hill Golf Club / Riversdale Golf Club / Wattle Park Golf Course / Aqualink Box Hill / Surrey Park: 3 km - 3.6 km<br/><br/>Disclaimer: We have in preparing this document used our best endeavours to ensure that the information contained in this document is true and accurate, but accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. The fixtures, fittings, appliances and services have not been tested and no guarantee as to their functionality or efficiency can be provided. Distances and timings are approximate. Prospect purchasers should independently verify the information contained in this document and refer to the due diligence check-list provided by consumer affairs. Click on the link for a copy of the due diligence check-list: http://www.consumer.vic.gov.au/duediligencechecklist<br/><br/>The furniture and décor in this image are virtual representations, intended to provide a visual example of the property’s possibilities.<br/><br/><br/><br/><br/>","house","$1,260,000","2024-07-23","767.0","Burwood","3125","-37.852006","145.105229","3","1","2.0","2","0","2"
"Secluded Three Bedroom Luxury Villa Opposite Wattle Park","An exquisite townhouse design delivering generous three-bedroom, two-bathroom accommodation provides luxury with an easy-care attitude in this beautifully elegant executive home directly opposite Wattle Park. <br/><br/>Positioned quietly toward the rear, a series of light filled spaces reveal quality in a range of premium finishes and layout including indoor/outdoor entertaining tailored for contemporary family flexibility. A large open-plan living area and a showpiece stone kitchen featuring induction cooktop, excellent storage and central island draw back to sunny yet secluded entertaining areas amidst a leafy garden perfect for easy relaxation and BBQs with friends.<br/><br/>Further highlights include Euro laundry, split heating/cooling and secure basement parking for two vehicles.<br/>Walk to Wattle Park and South Surrey Parks, Through Road Village cafes, Riversdale Road trams and popular Wattle Park Primary with minutes to leading private schools including PLC, Sienna College and Strathcona, Deakin University, Middle Camberwell, and Box Hill shopping. Zoned to high-performing Ashwood High School. <br/> <br/>We donate a portion of our fee from every property transaction to the Woodards Foundation to support people experiencing homelessness, family violence and social isolation.","townhouse","$950,000","2024-07-22","","Camberwell","3124","-37.8367183","145.09787147","3","2","2.0","1","0","1"
"The complete contemporary package in Box Hill High Zone","Setting an elite standard for brand new living thanks to interiors which are decked out with high end fittings and fixtures, and promising versatile living options and space that families will be captivated by, this sleek and elegant 4 bedroom + study, 3.5 bathroom home is a sought-after Surrey Hills prize.<br/><br/>Engineered Oak timber floors impress right away and are a stylish feature of the expansive central living and dining zone which benefits from amazing natural light and brilliant views of the back garden. Those who consider themselves home chefs will appreciate the size and practicality of the engineered stone kitchen, which offers a huge island bench, soft-closing cabinetry, and Bosch appliances including induction cooking.<br/><br/>Tucked away off the living towards the back of the layout is a spacious bedroom which also has garden views as well as a divine rain shower ensuite. Upstairs, there is a generous living retreat which is surrounded by 3 more bedrooms, which includes the enviable master bedroom that is enormous in size and boasts a walk-in robe and double vanity ensuite. The top floor is completed by a perfect family bathroom.<br/><br/>Other features include a downstairs study with large window for light and views, downstairs powder room, laundry, zoned ducted heating and cooling, under stairs storage, secure alarm, secure video intercom, rear pergola deck, garden shed, rainwater tank, and a double garage with internal access. <br/><br/>Zoned for Box Hill High School and Surrey Hills Primary School, you’re close to Kingswood College, Wattle Park, Surrey Park with Aqualink Box Hill, Box Hill Central, Union Road shops, buses, and Union Station.<br/><br/>We donate a portion of our fee from every property transaction to the Woodards Foundation to support people experiencing homelessness, family violence and social isolation.","house","$1,980,000","2024-07-20","","Surrey Hills","3127","-37.8306735","145.10984008","4","3","2.0","1","0","1"
"Timeless Charm and Modern Convenience in Burwood","Welcome to 12 Montpellier Road, Burwood - a timeless treasure blending classic charm with modern conveniences. This delightful home offers a range of features that cater to both comfort and lifestyle needs.<br/><br/>Stepping into this inviting residence, you'll find a traditional kitchen that exudes a nostalgic charm, perfectly suited for home-cooked meals and family gatherings. The cozy fireplace in the living area provides a warm and inviting atmosphere, ideal for relaxing evenings. The spacious backyard is a highlight, featuring a well-maintained garden that offers a peaceful retreat from the hustle and bustle of everyday life. A garden shed provides additional storage space for your gardening tools and outdoor equipment.<br/><br/>The location of 12 Montpellier Road is second to none. Conveniently situated near Ashburton train station and local bus routes, commuting is a breeze. The area is surrounded by a number of esteemed educational facilities including Ashwood Secondary College, Deakin University, PLC, Holmesglen TAFE, and Kingswood College, making it an ideal choice for families.<br/><br/>For those who love the outdoors, open green spaces such as Holmesglen Reserve and Gardiners Creek are within close proximity, offering plenty of opportunities for recreation and relaxation. Additionally, the popular shopping precincts, including Chadstone - The Fashion Capital, are nearby for all your daily needs, special occasions, or entertainment requirements.<br/><br/>Experience the perfect blend of classic charm and modern convenience at 12 Montpellier Road, Burwood. This home offers a unique opportunity to enjoy a comfortable lifestyle in a sought-after location. Don't miss the chance to make this timeless treasure your own!<br/><br/>Photo ID required for all open inspection. <br/>","house","$1,310,000","2024-07-20","725.0","Burwood","3125","-37.856199","145.108179","3","1","1.0","1","0","1"
"SUPERB PERIOD APPEAL FEATURING LUXURY INTERIORS IN THE TRAMWAYS ESTATE WITH LIGHT FILLED NORTH FACING REAR GARDEN","This beautifully presented and thoroughly delightfully renovated clinker brick classic is situated in an elevated position. Sun-drenched and spacious, its interiors create a superb ambience. A portico entrance reveals immediately appealing interiors that include a generous central living room brimming with natural northern light, and a stylishly appointed contemporary kitchen with smart storage and quality appliances. A formal lounge with high detailed corniced ceilings, rich timber floors, wood panelling and delightful luxury interiors, master bedroom with built-in-robes, large second bedroom plus third bedroom or study, relaxing sunroom which takes full advantage of the northern orientation and warmth. The flexible floorplan perfect for the needs of the modern family, are served by a stunning modern bathroom with separate shower, bathtub and glass vanity, while a large laundry are additional assets. Features ducted heating, fantastic independent studio or home office. Timber covered deck, ideal for indoor-outdoor entertaining leads to a deep north facing established garden with playground and alfresco dining area. Excellent off-street parking with provision for undercover parking.<br/><br/>Adjacent Through Road village shops/cafes, child care, Verdun Street kindergarten, Riversdale Road city tram, bus routes, Wattle Park, high quality schools PLC. Strathcona, Siena, plus excellent primary schools and more.<br/>A truly spectacular period home or land site in a high demand prime location close to parklands and the village lifestyle.","house","$1,680,000","2024-07-15","695.0","Surrey Hills","3127","-37.835389","145.094678","3","1","2.0","5","7","12"
"Unlock the Potential in a Prestigious Pocket with Balwyn High School Zoning","Destined for greatness in the prestigious Balwyn High School catchment area, this solid-brick 3 bedroom (plus study) home highlights family-focused comfort for today and endless promise for tomorrow. This is a rewarding opportunity from every angle! Take advantage of the extraordinary 661m2 (approx.) allotment and create your own forever family home set to endure for generations. Or extend, elevate and renovate a single-level classic at your own pace (all STCA).<br/><br/>Whatever path you choose, the current home is capable of generating secure income while your grand plans are finalised. Discover a free-flowing layout with a trio of extensively robed bedrooms, a light and bright living room, adjoining dining area, and a spacious kitchen and meals area boasting a high-performing Bosch dishwasher. Take advantage of a flexible sunroom/home office, large laundry, heating/cooling, a large yard and undercover car parking.<br/><br/>The family-friendly Balwyn neighbourhood always delivers with a close connection to public transport, leading schools, childcare options and a range of shopping choices. All this and key zoning to sought-after Deepdene Primary School and Balwyn High School. Inspect with confidence!<br/><br/>","house","$2,730,000","2024-07-13","663.0","Balwyn","3103","-37.803767","145.068697","3","1","1.0","1","0","1"
"1930's brick home in prime Camberwell locale","Nestled in the serene and sought-after locale of Camberwell, 6 Palmerston Street presents an exciting opportunity for those seeking to create their ideal living space. This 1930's brick home with an art deco period façade is a renovator's delight, brimming with potential to become a masterpiece tailored to your unique vision.<br/><br/>Step inside to find a spacious layout featuring floorboards throughout and tiled bathrooms that effortlessly blend period charm with modern comfort. The inviting living room boasts a classic fireplace, perfect for cozy evenings with loved ones. The home offers dual living zones, ensuring ample space for relaxation and entertainment.<br/><br/>Boasting four bedrooms, including one with an ensuite, and two full bathrooms, this residence accommodates families of all sizes. A separate study provides a quiet retreat for work or creative pursuits. Upstairs, a spacious entertainment deck overlooks the expansive front and backyard, ideal for outdoor gatherings and enjoying the sunshine.<br/><br/>The kitchen is equipped with a gas stove, double undermount sink, and laminate bench tops, ready for your culinary adventures. Natural light floods through the home, highlighting its potential and creating an airy ambiance throughout.<br/><br/>Additional features include ducted heating throughout the floors for comfort during colder months, while a split system in the retreat upstairs ensures climate control year-round. A charming spiral staircase adds a touch of elegance and character, complementing the home's period features.<br/><br/>Outside, a studio offers extra space for hobbies or as a potential home office. Set on a quiet street, Palmerston Street combines convenience with tranquility, offering a peaceful haven just moments from Camberwell's vibrant cafes, shops, and renowned schools.<br/><br/>Zoned for Camberwell Primary School and Camberwell High School, education options are exceptional. Close proximity to Riversdale Station and the 46 tram line ensures easy commuting, while nearby Brinsley Reserve, Camberwell Central shops, Sunday market, Village Cinemas Rivoli, and more cater to your leisure and entertainment needs.<br/><br/>Don't miss this rare opportunity to transform this classic property into your dream family home. Embrace the chance to renovate and customize every detail to suit your lifestyle. Arrange your inspection today!","house","$2,100,000","2024-07-13","559.0","Camberwell","3124","-37.830297","145.067574","4","3","3.0","1","1","2"
"Charming and Spacious Home with Development Potential in Prime Burwood Location","Welcome to 13 Worrall Street, Burwood-a beautifully renovated home situated on a substantial 868sqm block with incredible potential for future development. Nestled in the coveted Mount Waverley Secondary College (MWSC) zone, this warm and inviting residence is ready for you to move in and start creating memories.<br/><br/>This home features polished timber flooring throughout, exuding a sense of elegance and warmth. The living room is the perfect place to unwind, complete with a cozy fireplace. The heart of the home is the modern kitchen, equipped with stainless steel appliances, making meal preparation a delight.<br/><br/>The home comprises spacious bedrooms, ideal for family living. Ducted heating and evaporative cooling ensure year-round comfort. Step outside to discover a generous backyard with a veggie patch and a pergola, perfect for entertaining guests or enjoying family gatherings.<br/><br/>The large allotment presents an exciting opportunity for future development, making this property not only a comfortable home but also a smart investment.<br/><br/>Located just minutes from Highbury Road buses, Deakin University, and Burwood Highway trams, commuting to Melbourne CBD is a breeze. Nearby, you will find major shopping centers and a variety of primary and secondary schools, all contributing to the appeal of this fantastic location.<br/><br/>Don't miss your chance to secure this exceptional property in a sought-after Burwood locale. <br/><br/>Photo ID is required for all open inspections.<br/><br/>","house","$1,605,000","2024-07-13","868.0","Burwood","3125","-37.848907","145.13063","3","1","2.0","1","0","1"
"Stunning Family Home on Spacious Allotment in Prime Location","Situated on a spacious 697m2 (approx.) allotment, this beautifully maintained home features four generous bedrooms with built-in robes and carpeted flooring, a bright central bathroom with a bathtub, and an additional powder room. The highlight of the home is the renovated kitchen, boasting a gas cooktop, dishwasher, and a large stone benchtop. The kitchen flows seamlessly into the open-plan dining and living areas, creating a spacious and inviting environment perfect for entertaining. French doors open to a covered timber deck that overlooks a low-maintenance yard, complete with a veggie patch, a shed, and an alfresco deck, ideal for outdoor enjoyment and a children's playground.<br/><br/>Car accommodation is plentiful with a single lock-up garage and ample parking space behind the driveway gate. The home also features polished floorboards, downlights, high ceilings, ducted heating, and air conditioning.<br/><br/>This highly sought-after location is just steps from Highbury Road buses and a short walk to Deakin University, PLC, and Burwood Highway trams for easy commuting to Melbourne CBD. Major shopping centers, primary and secondary schools, and access to the Monash Freeway are also conveniently nearby. <br/><br/>Photo ID is required for all open inspections.<br/>","house","$1,400,000","2024-07-13","697.0","Burwood","3125","-37.855157","145.112309","4","1","2.0","1","1","2"
"Sleek Sophistication in Sensational Location","Architectural enthusiasts will appreciate this executive level unit in the ultimate lifestyle position. Situated only 450m from all that Box Hill Central has on offer, the beautiful balance of luxury living and location is undeniable.<br/><br/>Sleek sophistication and a smart use of space set this designer property heads above the rest. Sprawling over 3 lovely levels to capture tree canopy views evokes an enviable aura of livability. The ground floor offers in-house access from the lock-up garage with hydraulic lift for extra parking and plenty of workshop space. In addition, this level cleverly caters for any stage of life or work-from-home requirements with a generous ensuite bedroom and study nook.<br/><br/>On the first floor, elegant open plan living with an adjoining balcony invites entertaining in style. Catered by the custom kitchen with waterfall island bench, seamless cabinetry, and European appliances, this is a gorgeous zone for gatherings. The top floor is set to be a family favourite with a stylish bathroom framed by 2 generous bedrooms, including the main with ensuite and WIR, that complete the fabulous floorplan.<br/><br/>With featured extras including wideboard flooring, split system heating/cooling, abundant storage, and Surrey Hills Primary and Box Hill High school zoning, this property is an unparalleled offering of the utmost quality. Ultra-modern and ultra-convenient, this property is an investment in an inspiring way of living.","townhouse","$950,000","2024-07-13","101.0","Box Hill","3128","-37.82080651","145.11653459","3","3","2.0","1","1","2"
"A Modern Masterpiece In The Heart Of Burwood","Desirably positioned in the Heart of Burwood, this low-maintenance 2 bedroom townhouse is perfect for a growing family or savvy investor.<br/><br/>Defined by contemporary design and superior finishes, this master pierce displays excellent family proportions, two upstairs spacious bedrooms plus a beautiful open-plan living/dining zone effortlessly connects to a charming private courtyard. Architecturally designed for growing families, a spacious master bedroom features an ensuite & walk-in robe. The lifestyle appeal extends well beyond your front door. The bathrooms and kitchen are beautifully appointed with the finest European master appliances and precise finishes. A remote lockup car garage plus extra car space and complete laundry are positioned on the lower ground floor.<br/><br/>Featuring open plan living with ample light-filled interiors, stone bench tops and euro appliances. Living and dining are connected with a generous open courtyard to relax and recharge.<br/>Located across from PLC and a short distance to Deakin University, convenience is at your doorstep with the #75 Tram letting you access the CBD via Docklands and extending down to Vermont South.<br/><br/>Key Features<br/>- timber flooring<br/>- private courtyard<br/>- split system air-conditioners.<br/>- Stone benchtops<br/>- Ample shelving and storage<br/>- Secure garaged parking with remote control plus extra car space<br/><br/><br/>","townhouse","$715,000","2024-07-12","","Burwood","3125","-37.84981936","145.10830108","2","1","2.0","1","0","1"
"Where luxury, comfort and convenience converge in a prime location","Nestled on a prime location, this immaculate property boasts a north-facing backyard, allowing you to bask in natural sunlight all year round. Step into your own private sanctuary, complete with an established garden that has been meticulously maintained, offering a picturesque backdrop to your everyday life.<br/><br/>As you enter the home, you'll be greeted by the warmth of wood flooring that extends throughout, creating a cozy atmosphere. The kitchen is a chef's dream, featuring modern appliances, a gas stove, and a dishwasher, as well as ample storage space for all your culinary needs.<br/><br/>Enjoy year-round comfort with ceiling fans in the kitchen, bedroom 1, bedroom 2, and the lounge room, ensuring a pleasant climate no matter the season. Retreat to the spacious lounge room, complete with its own ceiling fan, or unwind in one of the three bedrooms, each boasting large built-in wardrobes for added convenience.<br/><br/>Indulge in luxury with a spa bath, perfect for relaxing after a long day. And with ducted heating throughout and reverse cycle air conditioning, you'll stay comfortable in any weather.<br/><br/>Step outside to your own private oasis - a large backyard oasis offering peace and tranquility, ideal for entertaining or simply enjoying a quiet evening under the stars. Plus, with a 2-car garage, 1-car carport behind gates, and 2 additional car spaces at the front, parking will never be a hassle.<br/><br/>Nestled in the sought-after Park Hill Primary School Zone and Ashwood Secondary School Zone, this immaculate property offers an unparalleled opportunity for families seeking quality education for their children.<br/><br/>But the benefits of this location extend far beyond schooling. Situated within walking distance from the Gardiners Creek Trail, you'll enjoy easy access to outdoor recreation, perfect for leisurely strolls or bike rides. Plus, with Deakin University, PLC, and the upcoming Burwood train station just a stone's throw away, commuting has never been more convenient.<br/><br/>Photo ID required at all open for inspections.","house","$1,320,000","2024-07-11","698.0","Burwood","3125","-37.853772","145.106877","3","2","3.0","2","0","2"
"Maintenance-free living in a coveted dual school zone","A world of spacious, low-maintenance living awaits in this inviting dual-level delight, enviably positioned within the coveted Box Hill High School and Laburnum Primary School zones. <br/><br/>The moment you enter, you'll be greeted by the classic warmth of parquetry floors that lead into a generous living room, seamlessly flowing into the dining room. The open-plan kitchen, complete with a breakfast bar, is ideal for casual meals or as a social hub while cooking. Slide open the doors to reveal a north-facing alfresco patio for outdoor dining and relaxation, bordered by an easy-care grassy area.<br/><br/>Upstairs, the main bedroom offers a walk-through robe leading to an ensuite bathroom. Two additional bedrooms, each fitted with built-in robes, are serviced by a family bathroom featuring both a bath and a standalone shower. An over-sized garage with internal entry, laundry, guest powder room, ducted heating/cooling and a garden shed round out the highlights. <br/><br/>- Coveted Box Hill High School and Laburnum Primary School zones<br/>- Classic parquetry floors<br/>- Generous living and dining areas<br/>- Open-plan kitchen with breakfast bar<br/>- North-facing alfresco patio with easy-care grassy area<br/>- Main bedroom with walk-through robe and ensuite<br/>- Two additional bedrooms with built-in robes<br/>- Family bathroom with bath and standalone shower<br/>- Over-sized garage with internal entry, powder room<br/>- Ducted heating and cooling<br/><br/>Beyond its outstanding educational credentials, this home is ideally situated close to Laburnum and Box Hill Stations, buses, Station Street trams, Box Hill Central, and a range of parks including RHL Sparks Reserve and Gardiners Creek Reserve. Enjoy the convenience of nearby Aqualink, private schools, and easy access to the Eastern Freeway.<br/>","townhouse","$1,101,600","2024-07-10","","Box Hill","3128","-37.82668928","145.13033173","3","2","2.0","1","0","1"
"Charming Victorian with Abundant Potential","Surrounded by charming period homes, this freestanding Victorian residence from c1880 offers extraordinary potential in this prestigious location. <br/><br/>Set on a regular 244sqm (approx.) block, this single-level home features a classic verandah façade, high ceilings, 2 bedrooms, main with an open fireplace, bright bathroom, laundry, open plan kitchen with gas stove and large island bench overlooking an informal meals and lounge area, leading to generous private rear garden with rear gated ROW access.<br/><br/>This home presents in a comfortable manner and leaves plenty of room for the new owners to leverage their options to enhance its timeless charm and character details. Custom-design a renovation to suit your family's needs in one of Camberwell's most sought-after period precincts (STCA).<br/><br/>Just moments from Camberwell Junction, an easy stroll to Rivoli Cinema, Camberwell Sunday Markets, a plethora of amenities including cafes, restaurants, boutiques, and specialist stores within and around Camberwell Junction. Also located within close proximity to elite schools, nearby parks and recreational facilities, Camberwell train station, and trams at both ends of the street.<br/><br/>Zoned for Canterbury Girls' Secondary College, Camberwell Primary School (French Immersion), and Camberwell High School, this is a rare opportunity not to be missed.","house","$1,210,000","2024-07-09","244.0","Camberwell","3124","-37.833671","145.061168","2","1","1.0","1","0","1"
"Character filled family home. Move in now or renovate in time.","Watch the auction live here: https://heavyside.co/live-auction/<br/><br/>THE PROPERTY <br/>Ideally positioned in a tree-lined street this enticing property presents a wonderful opportunity to secure your dream lifestyle in this premium locale. Set on a generous 705sqm approx. block, the location could not be better, with boutique shopping, sidewalk cafés, picturesque parkland, trains and trams, and an array of coveted primary and secondary schools all just a pleasant walk away. Perfectly primed for a renovation or extension (STCA) the existing five-bedroom, two-bathroom weatherboard home boasts an array of period features throughout including ornate fireplaces, picture rails and stained-glass windows, and is ready for a new lease of life. Certain to appeal to families looking to secure a foothold in one of Melbourne's most popular leafy suburbs, this charming property offers an endless array of exciting possibilities to make it your own. <br/><br/>THE FEATURES  <br/>• Charming five-bedroom, two-bathroom weatherboard period home<br/>• Positioned on a generous 705sqm (approx.) allotment <br/>• Exceptional opportunity to renovate or extend (STCA) <br/>• Ideally located in a quiet, leafy, tree-lined street<br/>• Just a short stroll to boutique shopping & cafés <br/>• An array of parkland nearby including Canterbury & Surrey Gardens<br/>• Easy access to both trains & trams for a stress-free commute<br/>• Walking distance to coveted primary & secondary schools<br/>• An exceptional opportunity to secure your dream lifestyle<br/> <br/>THE LOCATION<br/>Enjoying an unbeatable location, you are only a short walk away from deluxe shopping and cafés on Mailing Road, beautiful parkland within Surrey and Canterbury Gardens, Chatham train station at the end of the street, and Riversdale Road trams. You are also moments from a bus stop that takes you to Camberwell and Box Hill. Additionally, there is a wide selection of premium schools including Canterbury Primary, Strathcona Baptist Girls' Grammar, and Sienna College.<br/><br/>THE TERMS: 30|45|60|90","house","$2,052,000","2024-07-06","705.0","Surrey Hills","3127","-37.827122","145.088891","5","2","2.0","1","0","1"
"Enjoy style and functionality in this fully renovated clinker brick classic","Watch the auction live here: https://heavyside.co/live-auction/<br/><br/>THE PROPERTY <br/>Perfectly placed in a lush, leafy street, this stunning three-bedroom brick residence offers a dream lifestyle for families. Stylishly renovated, complemented by soaring ceilings, sparkling floorboards and plantation shutters, the home is warm and welcoming throughout, with the hallway upon entry flowing through to the light-filled open plan living zone at the rear. Cooking is a dream in the sleek modern kitchen boasting stone benches, premium appliances, island bench and servery window to the serene rear deck, with bi-fold doors alongside opening up to the outdoors for effortless entertaining. Three generous bedrooms feature built-in robes, the main flaunting an elegant ensuite, while the updated family bathroom is conveniently positioned and includes shower over bath, vanity and toilet. Rounding out the impressive list of inclusions, a European laundry, ducted heating, evaporative cooling, single carport and immaculate easy-care gardens.<br/><br/>THE FEATURES  <br/>• Stylishly updated three-bedroom, two-bathroom brick home<br/>• Positioned on an easy to manage 318sqm approx. block<br/>• Bright & inviting open plan living room with soaring ceilings<br/>• Premium kitchen features stone surfaces & quality appliances <br/>• Three robed bedrooms, the luxe main with sleek ensuite <br/>• Family bathroom includes shower over bath, vanity & toilet<br/>• Serene alfresco deck backdropped by lush greenery<br/>• Single carport with additional off-street parking space<br/>• Ducted heating & evaporative cooling for optimum comfort<br/> <br/>THE LOCATION <br/>Enjoying a premium locations in a quiet street, just a short walk to the tranquil Wattle Park and Riversdale Road trams, within walking distance of boutique shopping, cafés and Union train station, and close to well-regarded schools including Surrey Hills Primary, Kingswood College, PLC, Sienna College and Camberwell High School (zoned).<br/><br/>THE TERMS: 30|45|60","house","$1,487,000","2024-07-06","318.0","Surrey Hills","3127","-37.83061912","145.10632708","3","2","2.0","1","0","1"
"Brand new in the MWSZ","Nestled in the heart of Burwood, this brand new 3-bedroom townhouse offers contemporary living with a focus on space, natural light, and convenience. This property presents a rare opportunity for those seeking a modern lifestyle in a sought-after location.<br/><br/>Upon entry, you are greeted by an abundance of natural light that fills the living, dining, and kitchen area. The well-appointed kitchen features modern appliances, ample storage, and a large waterfall benchtop, perfect for the home chef or for entertaining guests. The Double Lock Up Garage with internal access provides secure parking for two vehicles.<br/><br/>Upstairs, the spaciousness continues with 3 bedrooms, all with built-in robes, 2 sharing a bathroom, whilst the master bedroom has its own ensuite.<br/><br/>The property's location adds to its appeal, being within close proximity to local amenities such as Burwood Brickworks, public transport options, and a range of schools. Notably, the property falls within the highly regarded Mount Waverley school zone, adding to its desirability for families.<br/><br/>This townhouse is truly a turn-key property, ready for you to move in and make it your own. Don't miss this opportunity to secure a modern, spacious, and convenient lifestyle in one of Melbourne's most sought-after suburbs. Schedule your inspection today!<br/><br/><br/>Disclaimer: We have, in preparing this document, used our best endeavors to ensure that the information contained in this document is true and accurate, but we accept no responsibility and disclaim all liability in respect to any errors, omissions, inaccuracies or misstatements in this document. Prospective purchasers should make their own enquiries to verify the information contained in this document. Purchasers should make their own enquiries and refer to the due diligence checklist provided by Consumer Affairs. Click on the link for a copy of the due diligence checklist from Consumer Affairs. http://www.consumer.vic.gov.au/duediligencechecklist","townhouse","$1,115,000","2024-07-06","","Burwood","3125","-37.846947","145.123554","3","2","2.0","1","0","1"
"A prime opportunity awaits","A prime opportunity awaits in the highly sought-after Wattle Park area with this long-held property spanning approximately 761sqm. Ideal for an inspired buyer, this home boasts tremendous potential to provide a premium lifestyle. Whether you choose to enjoy it as is, enhance, extend, or redevelop, the options are plentiful and limited only by your imagination (STCA).<br/><br/>The classic weatherboard home features a comfortable single-level floorplan, including a spacious living room, a kitchen with a meals area, two bedrooms, a study, one bathroom, and a laundry. The expansive backyard offers ample lawn space for children and pets, along with an alfresco area perfect for entertaining. Additional features include heating, cooling, generous cupboard storage, and a single garage.<br/><br/>Secure this property today and explore its vast potential. Enjoy the convenience of being within walking distance to Wattle Park and Golf Course, bus and tram services, pre and primary schools, Surrey Hills Train Station, and Union Road shops and eateries. It is also close to some of Melbourne's most elite secondary colleges, Box Hill Institute of TAFE, and Deakin University.<br/><br/><br/><br/><br/><br/><br/><br/>","house","$1,850,000","2024-07-05","761.0","Surrey Hills","3127","-37.834437","145.099884","3","1","1.0","1","0","1"
